class,label,gloss
http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_surveyor,surveying office,"An office of a person doing technical surveys, such as land surveys or risk and damage evaluations of properties and equipment."
http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_tax_advisor,tax advisor,An office for a financial expert specially trained in tax law
http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_tax_advisor,financial advisor office,An office for a financial expert specially trained in tax law
http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_telecommunication,telecommunication,An office for a telecommunication company
http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_telecommunication,telecommunication company,An office for a telecommunication company
http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_visa,visa,An office of an organisation or business which offers visa assistance
http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_visa,visa assistance,An office of an organisation or business which offers visa assistance
http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_water_utility,water utility company,The office for a water utility company or water board.
http://kr.di.uoa.gr/yago2geo/ontology/OSM_office_water_utility,utility company,The office for a water utility company or water board.
http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_adult_gaming_centre,adult gaming centre,A venue with gambling machines and other pay-to-play games. 
http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_amusement_arcade,amusement arcade,"A venue with pay-to-play games, such as video games, driving simulators, pinball machines, merchandisers, etc. "
http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_bandstand,bandstand,An open structure where musical bands can perform concerts.
http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_beach_resort,beach resort,To mark the boundary of a managed beach.
http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_bird_hide,bird hide,A place to observe birds.
http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_bird_hide,bird watch,A place to observe birds.
http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_bleachers,bleachers,"Raised, tiered rows of benches found at spectator events"
http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_bowling_alley,bowling alley,A facility that is equipped to play the game of bowling.
http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_dance,dance,A place to go dancing.
http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_dance,dance floor,A place to go dancing.
http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_disc_golf_course,disc golf course,Disc golf course
http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_dog_park,dog park,"Designated area, with or without a fenced boundary, where dog-owners are permitted to exercise their pets unrestrained."
http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_escape_game,escape game,"A physical adventure game in which players solve a series of puzzles using clues, hints and strategy to complete the objectives at hand."
http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_firepit,firepit,"A permanent location or structure to host campfires, bonfires, etc."
http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_fishing,fishing,A place for fishing.
http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_fishing,fishing place,A place for fishing.
http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_fitness_centre,fitness centre,A place with exercise machines and/or fitness/dance classes.
http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_fitness_station,fitness station,"A place with exercise machines, single or collection of, outdoor."
http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_garden,garden,Place where flowers and other plants are grown in a decorative and structured manner or for scientific purposes.
http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_golf_course,golf course,A golf course.
http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_hackerspace,hackerspace,"A place where people with common interests, often in computers, technology, science, digital art or electronic art, can meet, socialize and/or collaborate."
http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_horse_riding,horse riding,"A facility where people practise horse riding, usually in their spare time, e.g. a riding centre."
http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_ice_rink,ice rink,A place where you can skate or play ice hockey.
http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_marina,marina,For mooring leisure yachts and motor boats.
http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_miniature_golf,miniature golf,A place or area that you can play miniature golf.
http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_nature_reserve,nature reserve,"Protected area of importance for wildlife, flora, fauna or features of geological or other special interest."
http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_outdoor_seating,outdoor seating,Areas for outdoor gastronomy.
http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_park,park,"Open, green area for recreation, usually municipal."
http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_picnic_table,picnic table,A picnic table
http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_pitch,pitch,"A field for playing football, soccer, cricket, baseball, tennis, etc., a riding arena or a skate park. "
http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_playground,playground,Playground for little children.
http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_resort,resort,"A place used for relaxation or recreation, attracting visitors for vacations, tourism and/or going swimming in a pool and/or a nearby body of water."
http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_sauna,sauna,"A small room or house designed to experience dry or wet heat sessions, or an establishment with one or more of these and auxiliary facilities."
http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_slipway,slipway,Boats can be launched here.
http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_sports_centre,sports centre,A distinct facility where a range of sports take place within an enclosed area. 
http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_sports_hall,sports hall,A building that is used as a sports hall.
http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_stadium,stadium,A major sports arena with substantial tiered seating.
http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_summer_camp,summer camp,Summer camp is a supervised program for children or teenagers conducted during the summer months in some countries. Children and adolescents who attend summer camp are known as campers.
http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_swimming_area,swimming area,"A swimming area - place over river, lake or other water reservoir where swimming is allowed."
http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_swimming_pool,swimming pool,A swimming pool (water area only).
http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_tanning_salon,tanning salon,Place where customers can use UV lamps to tan their skin.
http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_track,track,"A track for running, cycling and other non-motorised racing such as horses, greyhounds."
http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_trampoline_park,trampoline park,An leisure facility consisting of many interlinked trampolines
http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_water_park,water park,"An amusement park with features like water slides, recreational pools (e.g. wave pools) or lazy rivers."
http://kr.di.uoa.gr/yago2geo/ontology/OSM_leisure_wildlife_hide,wildlife hide,A place to observe wildlife.
http://kr.di.uoa.gr/yago2geo/ontology/OSM_place_quarter,quarter,"A quarter is a named, geographically localised place within a suburb of a larger city or within a town which is bigger than a neighbourhood"
http://kr.di.uoa.gr/yago2geo/ontology/OSM_place_neighbourhood,neighbourhood,"A neighbourhood is a smaller named, geographically localised place within a suburb of a larger city or within a town or village"
http://kr.di.uoa.gr/yago2geo/ontology/OSM_place_city_block,city block,"A named city block, usually surrounded by streets."
http://kr.di.uoa.gr/yago2geo/ontology/OSM_place_plot,plot,A named plot is a tract or parcel of land owned or meant to be owned by some owner.
http://kr.di.uoa.gr/yago2geo/ontology/OSM_place_town,town,"An important urban centre, between a village and a city in size."
http://kr.di.uoa.gr/yago2geo/ontology/OSM_place_village,village,"A smaller distinct settlement, smaller than a town with few facilities available with people traveling to nearby towns to access these."
http://kr.di.uoa.gr/yago2geo/ontology/OSM_place_hamlet,hamlet,"A smaller rural community, typically with fewer than 100-200 inhabitants, and little infrastructure."
http://kr.di.uoa.gr/yago2geo/ontology/OSM_place_isolated_dwelling,isolated dwelling,The smallest kind of settlement (1-2 households).
http://kr.di.uoa.gr/yago2geo/ontology/OSM_place_farm,farm,An individually named farm.
http://kr.di.uoa.gr/yago2geo/ontology/OSM_place_allotments,allotments,"A separate settlement, which is located outside an officially inhabited locality and has its own addressing"
http://kr.di.uoa.gr/yago2geo/ontology/OSM_place_continent,continent,"One of the seven continents: Africa, Antarctica, Asia, Australia, Europe, North America, South America"
http://kr.di.uoa.gr/yago2geo/ontology/OSM_place_archipelago,archipelago,A named group or chain of closely related islands and islets.
http://kr.di.uoa.gr/yago2geo/ontology/OSM_place_island,island,Any piece of land that is completely surrounded by water and isolated from other significant landmasses.
http://kr.di.uoa.gr/yago2geo/ontology/OSM_place_islet,islet,A very small island.
http://kr.di.uoa.gr/yago2geo/ontology/OSM_place_square,square,"A town or village square: a paved open public space, generally of architectural significance, which is surrounded by buildings in a built-up area such as a city, town or village."
http://kr.di.uoa.gr/yago2geo/ontology/OSM_place_locality,locality,A named place that has no population.
